name,ds,origin_sc,origin_tc,origin_rwc,sliced_sc,sliced_tc,sliced_rwc,sliced_boundes
4,10,33.0,49.6371471606993,36.977233278263476,23.0,65.18456193511034,59.150577148735195,29
5,1,45.0,66.01238289473979,49.87241987639291,44.0,66.0051222519165,50.67614002785563,1
5,2,45.0,66.01238289473979,49.87241987639291,43.0,63.08831729983898,51.590105843858346,3
5,3,45.0,66.01238289473979,49.87241987639291,42.0,62.11136323409445,51.14629077821668,3
5,4,45.0,66.01238289473979,49.87241987639291,41.0,62.31137570906852,50.917496636696185,4
5,5,45.0,66.01238289473979,49.87241987639291,40.0,60.152144675482816,50.99583580051686,5
5,6,45.0,66.01238289473979,49.87241987639291,39.0,63.2087885178695,51.67268045856938,6
5,7,45.0,66.01238289473979,49.87241987639291,38.0,60.189189047330444,50.76652261105072,6
5,8,45.0,66.01238289473979,49.87241987639291,37.0,62.52132093333674,53.63326432109231,10
5,9,45.0,66.01238289473979,49.87241987639291,36.0,62.81370821686504,53.57171757575029,11
5,10,45.0,66.01238289473979,49.87241987639291,35.0,63.64820503124095,54.855222053416135,14
6,1,30.0,44.61409871611639,34.376168646405404,29.0,44.31135398706538,35.409192485239465,1
6,2,30.0,44.61409871611639,34.376168646405404,28.0,44.70238010569194,36.558441647100516,3
6,3,30.0,44.61409871611639,34.376168646405404,27.0,45.92922120840025,37.60734153777883,5
6,4,30.0,44.61409871611639,34.376168646405404,26.0,47.316498414032736,39.05266190396322,7
6,5,30.0,44.61409871611639,34.376168646405404,25.0,49.738275263774526,41.98534853787778,11
6,6,30.0,44.61409871611639,34.376168646405404,24.0,52.566124932547496,45.081479986690596,15
6,7,30.0,44.61409871611639,34.376168646405404,23.0,55.29761875973775,48.32479631162573,19
6,8,30.0,44.61409871611639,34.376168646405404,22.0,58.69339997433993,52.64034396724407,24
6,9,30.0,44.61409871611639,34.376168646405404,21.0,64.62591894941846,58.64575143831541,31
6,10,30.0,44.61409871611639,34.376168646405404,20.0,68.72934520832882,63.6577348792748,37
7,1,38.0,54.259542434503,42.36993467098924,37.0,54.11816887697443,42.86445107587783,1
7,2,38.0,54.259542434503,42.36993467098924,36.0,55.145580832201425,44.446451725798745,3
7,3,38.0,54.259542434503,42.36993467098924,35.0,54.120704651027125,43.266163473825735,3
7,4,38.0,54.259542434503,42.36993467098924,34.0,55.10876034309491,44.35069904112265,5
7,5,38.0,54.259542434503,42.36993467098924,33.0,55.15648885432245,45.631128375524085,7
7,6,38.0,54.259542434503,42.36993467098924,32.0,55.168496344557404,46.068196053164264,8
7,7,38.0,54.259542434503,42.36993467098924,31.0,54.38712241859361,45.31354753742765,9
7,8,38.0,54.259542434503,42.36993467098924,30.0,56.013353637052745,47.92055188582434,12
